PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Partyka, Jeffrey; Parveen, Pallabi; Khan, Latifur; Thuraisingham, B.; Shekhar, Shashi								Enhanced geographically typed semantic schema matching								JOURNAL OF WEB SEMANTICS				9	1			52	70		10.1016/j.websem.2010.11.002			MAR 2011	2011										3							WOS:000291643700004		
J	Yang, Yubin; Wilson, Lloyd Ted; Wang, Jing; Li, Xiaobao								Development of an integrated Cropland and Soil Data Management system for cropping system applications								COMPUTERS AND ELECTRONICS IN AGRICULTURE				76	1			105	118		10.1016/j.compag.2011.01.012			MAR 2011	2011										14							WOS:000291178900013		
J	Shepherd, Stephanie L.; Dixon, John C.; Davis, Ralph K.								ARE OZARK STREAMS UNDERFIT? USING GIS TO RE-EXAMINE DURY'S THEORY OF UNDERFIT STREAMS								PHYSICAL GEOGRAPHY				32	2			179	194		10.2747/0272-3646.32.2.179			MAR-APR 2011	2011										3							WOS:000291121100005		
J	Clements, Daniel; Dugdale, Tony M.; Hunt, Trevor D.								Growth of aquatic alligator weed (Alternanthera philoxeroides) over 5 years in south-east Australia								AQUATIC INVASIONS				6	1			77	82		10.3391/ai.2011.6.1.09			MAR 2011	2011										8							WOS:000290839600009		
J	Cameron, Robert P.; Neily, Tom; Clayden, Stephen R.								Distribution prediction model for Erioderma mollissimum in Atlantic Canada								BRYOLOGIST				114	1			231	238		10.1639/0007-2745-114.1.231			SPR 2011	2011										3							WOS:000290637900021		
J	Zimmerman, Gregory; Bell, F. Wayne; Woodcock, John; Palmer, Aaron; Paloniemi, Jorma								Response of breeding songbirds to vegetation management in conifer plantations established in boreal mixedwoods								FORESTRY CHRONICLE				87	2			217	224		10.5558/tfc2011-009			MAR-APR 2011	2011										5							WOS:000290648800008		
J	Kissell, Robert E., Jr.; Nimmo, Susan K.								A technique to estimate white-tailed deer Odocoileus virginianus density using vertical-looking infrared imagery								WILDLIFE BIOLOGY				17	1			85	92		10.2981/10-040			MAR 2011	2011										10							WOS:000290819800009		
J	Beck, Tanya M.; Kraus, Nicholas C.								New Ebb-Tidal Delta at an Old Inlet, Shark River Inlet, New Jersey								JOURNAL OF COASTAL RESEARCH								98	110		10.2112/SI59-010.1			SPR 2011	2011										1							WOS:000290126500011		
J	Soam, S. K.; Hussain, M.								Commercialization of Indigenous Health Drinks as Geographical Indications								JOURNAL OF INTELLECTUAL PROPERTY RIGHTS				16	2			170	175					MAR 2011	2011										1							WOS:000289905900013		
J	Harris, Paul M. (Mitch); Purkis, Samuel J.; Ellis, James								ANALYZING SPATIAL PATTERNS IN MODERN CARBONATE SAND BODIES FROM GREAT BAHAMA BANK								JOURNAL OF SEDIMENTARY RESEARCH				81	3-4			185	206		10.2110/jsr.2011.21			MAR-APR 2011	2011										28							WOS:000290242000002		
J	Daggupati, P.; Douglas-Mankin, K. R.; Sheshukov, A. Y.; Barnes, P. L.; Devlin, D. L.								FIELD-LEVEL TARGETING USING SWAT: MAPPING OUTPUT FROM HRUs TO FIELDS AND ASSESSING LIMITATIONS OF GIS INPUT DATA								TRANSACTIONS OF THE ASABE				54	2			501	514					MAR-APR 2011	2011										39							WOS:000290180400013		
J	Hino, Paula; Scatena Villa, Tereza Cristina; da Cunha, Tarcsio Neves; dos Santos, Claudia Benedita								Spatial Distribution of Endemic Diseases in Ribeirao Preto, Sao Paulo State								CIENCIA & SAUDE COLETIVA				16				1289	1294		10.1590/S1413-81232011000700062			MAR 2011	2011										6							WOS:000289644000062		
J	Sinaga, Tumpal P. T.; Nugroho, Adhi; Lee, Yang-Won; Suh, Yongcheol								GIS Mapping of Tsunami Vulnerability: Case Study of the Jembrana Regency in Bali, Indonesia								KSCE JOURNAL OF CIVIL ENGINEERING				15	3			537	543		10.1007/s12205-011-0741-8			MAR 2011	2011										11							WOS:000290042000013		
J	Suarez, Manuel; Alberro, Irina								Analyzing partisanship in Central Mexico: A geographical approach								ELECTORAL STUDIES				30	1			136	147		10.1016/j.electstud.2010.11.014			MAR 2011	2011										0							WOS:000289336500014		
J	Gebel, Klaus; Bauman, Adrian E.; Sugiyama, Takemi; Owen, Neville								Mismatch between perceived and objectively assessed neighborhood walkability attributes: Prospective relationships with walking and weight gain								HEALTH & PLACE				17	2			519	524		10.1016/j.healthplace.2010.12.008			MAR 2011	2011										92							WOS:000289339000014		
J	Pires, Stephen F.; Clarke, Ronald V.								SEQUENTIAL FORAGING, ITINERANT FENCES AND PARROT POACHING IN BOLIVIA								BRITISH JOURNAL OF CRIMINOLOGY				51	2			314	335		10.1093/bjc/azq074			MAR 2011	2011										42							WOS:000288547500006		
